Indexcd,Idxtrd01,Idxtrd08
906,2014/8/13,0.0692
906,2014/8/14,-0.8803
906,2014/8/15,1.0821
906,2014/8/18,0.8056
906,2014/8/19,0.0909
906,2014/8/20,-0.2572
906,2014/8/21,-0.3719
906,2014/8/22,0.5047
906,2014/8/25,-0.8981
906,2014/8/26,-1.0797
906,2014/8/27,0.1958
906,2014/8/28,-0.7572
906,2014/8/29,1.1373
906,2014/9/1,1.0321
906,2014/9/2,1.3799
906,2014/9/3,0.872
906,2014/9/4,0.7595
906,2014/9/5,0.7919
906,2014/9/9,0.0979
906,2014/9/10,-0.3226
906,2014/9/11,-0.293
906,2014/9/12,0.7569
906,2014/9/15,0.2748
906,2014/9/16,-2.3915
906,2014/9/17,0.626
906,2014/9/18,0.4211
906,2014/9/19,0.732
906,2014/9/22,-1.7474
906,2014/9/23,0.9864
906,2014/9/24,1.6265
906,2014/9/25,-0.1478
906,2014/9/26,0.0993
906,2014/9/29,0.596
906,2014/9/30,0.3258
906,2014/10/8,1.2531
906,2014/10/9,0.1636
906,2014/10/10,-0.561
906,2014/10/13,-0.3322
906,2014/10/14,-0.339
906,2014/10/15,0.6263
906,2014/10/16,-1.042
906,2014/10/17,-0.3517
906,2014/10/20,0.7899
906,2014/10/21,-0.8825
906,2014/10/22,-0.781
906,2014/10/23,-1.0922
906,2014/10/24,-0.0338
906,2014/10/27,-0.4289
906,2014/10/28,2.1328
906,2014/10/29,1.4129
906,2014/10/30,0.5065
906,2014/10/31,1.083
906,2014/11/3,0.3685
906,2014/11/4,-0.131
906,2014/11/5,-0.3201
906,2014/11/6,0.2475
906,2014/11/7,-0.3906
906,2014/11/10,2.1104
906,2014/11/11,-1.0634
906,2014/11/12,1.488
906,2014/11/13,-0.6529
906,2014/11/14,-0.0329
906,2014/11/17,-0.1034
906,2014/11/18,-0.6584
906,2014/11/19,-0.0148
906,2014/11/20,-0.0648
906,2014/11/21,1.6177
906,2014/11/24,2.2831
906,2014/11/25,1.4088
906,2014/11/26,1.1325
906,2014/11/27,1.0289
